superregion2,iso3,age,female,urban,edu,year,v50_type,v50_type_desc,median,country name
FSU,SVN,999.0,999,999,999,2018,3,3: Micronutrients,3.87409456765727,Slovenia
HIC,SWE,999.0,999,999,999,2018,3,3: Micronutrients,5.01264517997276,Sweden
SSA,SWZ,999.0,999,999,999,2018,3,3: Micronutrients,2.24787657043876,Eswatini
SSA,SYC,999.0,999,999,999,2018,3,3: Micronutrients,2.35933284810666,Seychelles
MENA,SYR,999.0,999,999,999,2018,3,3: Micronutrients,3.45401716401287,Syria
SSA,TCD,999.0,999,999,999,2018,3,3: Micronutrients,2.04047468425868,Chad
SSA,TGO,999.0,999,999,999,2018,3,3: Micronutrients,2.17815079274886,Togo
Asia,THA,999.0,999,999,999,2018,3,3: Micronutrients,3.06196498624418,Thailand
FSU,TJK,999.0,999,999,999,2018,3,3: Micronutrients,3.48296830373564,Tajikistan
FSU,TKM,999.0,999,999,999,2018,3,3: Micronutrients,3.64766598397266,Turkmenistan
Asia,TLS,999.0,999,999,999,2018,3,3: Micronutrients,3.2412965745446,Timor-Leste
Asia,TON,999.0,999,999,999,2018,3,3: Micronutrients,3.45150691717542,Tonga
LAC,TTO,999.0,999,999,999,2018,3,3: Micronutrients,3.29833309704343,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,3,3: Micronutrients,5.2122911994713,Tunisia
MENA,TUR,999.0,999,999,999,2018,3,3: Micronutrients,2.1667087457427,Turkey
Asia,TWN,999.0,999,999,999,2018,3,3: Micronutrients,3.47342947758055,
SSA,TZA,999.0,999,999,999,2018,3,3: Micronutrients,2.12126841680997,Tanzania
SSA,UGA,999.0,999,999,999,2018,3,3: Micronutrients,2.05787615468541,Uganda
FSU,UKR,999.0,999,999,999,2018,3,3: Micronutrients,3.89091191883328,Ukraine
LAC,URY,999.0,999,999,999,2018,3,3: Micronutrients,3.56521967766643,Uruguay
HIC,USA,999.0,999,999,999,2018,3,3: Micronutrients,4.81031095869947,United States
FSU,UZB,999.0,999,999,999,2018,3,3: Micronutrients,3.70370439977039,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,3,3: Micronutrients,3.26838892968589,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,3,3: Micronutrients,3.3901299523844,Venezuela
Asia,VNM,999.0,999,999,999,2018,3,3: Micronutrients,1.98135356321685,Vietnam
Asia,VUT,999.0,999,999,999,2018,3,3: Micronutrients,3.36588971975753,Vanuatu
Asia,WSM,999.0,999,999,999,2018,3,3: Micronutrients,3.5258428733247,Samoa
MENA,YEM,999.0,999,999,999,2018,3,3: Micronutrients,3.00581153515792,Yemen
SSA,ZAF,999.0,999,999,999,2018,3,3: Micronutrients,3.04671731018301,South Africa
SSA,ZMB,999.0,999,999,999,2018,3,3: Micronutrients,2.24269752552135,Zambia
SSA,ZWE,999.0,999,999,999,2018,3,3: Micronutrients,2.23505744054671,Zimbabwe
