superregion2,iso3,age,female,urban,edu,year,varnum,v01_type,v01_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95
HIC,MLT,999.0,999,999,999,2018,1,1,1: Foods & Beverages,132.776619535512,155.881266009137,113.664136786694,1.3457999,1.1520792,1.5799844
Asia,MMR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,79.4738182266001,91.5060173238792,69.339541385673,0.81336421,0.70964634,0.93650615
FSU,MNE,999.0,999,999,999,2018,1,1,1: Foods & Beverages,245.39026226019,410.866148696205,146.862093946451,2.4935501,1.4923493,4.1750445
FSU,MNG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,48.7077898335278,57.9586659241554,40.8690292256569,0.50354373,0.42250624,0.5991798
SSA,MOZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,102.297058152629,116.489857190485,89.901730143704,1.0719591,0.94206989,1.2206838
SSA,MRT,999.0,999,999,999,2018,1,1,1: Foods & Beverages,34.82230985855,41.5897195395669,29.2660633800254,0.36326215,0.30530006,0.43385896
SSA,MUS,999.0,999,999,999,2018,1,1,1: Foods & Beverages,76.757911559776,87.9704144668243,67.4985483089745,0.77863574,0.68470836,0.89237589
SSA,MWI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,113.698139226631,124.762063761036,103.282151679509,1.187572,1.0787774,1.3031342
Asia,MYS,999.0,999,999,999,2018,1,1,1: Foods & Beverages,106.502942848645,118.488153805501,96.3902460827638,1.0895442,0.98608947,1.212155
SSA,NAM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,255.014390701425,276.550172112046,233.301624319962,2.6481245,2.4226544,2.8717566
SSA,NER,999.0,999,999,999,2018,1,1,1: Foods & Beverages,63.5620547926787,73.6414714065305,54.944819810165,0.67240089,0.58124214,0.77902752
SSA,NGA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,35.1258850203765,39.2632896274525,31.3467421380171,0.3681187,0.32851332,0.41147864
LAC,NIC,999.0,999,999,999,2018,1,1,1: Foods & Beverages,156.509762655507,183.127968318416,133.028078142923,1.6101828,1.3686017,1.8840326
HIC,NLD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,106.240930291386,115.054227114968,98.20506700967232,1.0773849,0.9958936,1.1667602
HIC,NOR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,82.2880397889837,93.5442503082887,72.6831826870048,0.835751,0.73820013,0.95007366
SAARC,NPL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,37.8853409670433,42.4830472502659,33.583283910854,0.38912633,0.34493923,0.43635011
HIC,NZL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,152.881987464689,184.684712064117,126.160585015832,1.5557342,1.2838159,1.8793601
MENA,OMN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,120.611180557785,162.990225935302,89.6694778789353,1.2367841,0.91949838,1.6713518
SAARC,PAK,999.0,999,999,999,2018,1,1,1: Foods & Beverages,33.9395164595948,37.795912020698,30.502927167629,0.35174128,0.31612527,0.39170808
LAC,PAN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,130.923364117205,152.92596592178,111.875906510926,1.3433548,1.1479162,1.5691152
LAC,PER,999.0,999,999,999,2018,1,1,1: Foods & Beverages,227.794550817401,249.508179504837,208.117906709865,2.3327656,2.1312637,2.5551271
Asia,PHL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,84.8726482712754,91.5085487707518,78.7732719764126,0.87335509,0.8105914,0.94163972
Asia,PNG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,3.85021328707565,5.67418653303434,2.62318696196782,0.039869662,0.02716358,0.058757238
FSU,POL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,234.931752697942,251.626493112791,219.144550406568,2.3807433,2.2207596,2.5499239
HIC,PRT,999.0,999,999,999,2018,1,1,1: Foods & Beverages,420.859065404105,445.651926203142,393.706834309605,4.2554002,3.9808576,4.5060863
