superregion2,iso3,age,female,urban,edu,year,varnum,v23_type,v23_type_desc,median,upperci_95,lowerci_95
MENA,ISR,999.0,999,999,999,2018,23,2,2: Macronutrients,67.0738821659434,69.4125219546205,64.7295078589926
HIC,ITA,999.0,999,999,999,2018,23,2,2: Macronutrients,86.1066305807291,89.0218777262441,83.2203270202564
LAC,JAM,999.0,999,999,999,2018,23,2,2: Macronutrients,94.5005149753634,102.05773552686,87.4523895867857
MENA,JOR,999.0,999,999,999,2018,23,2,2: Macronutrients,80.362840311175,90.76371577846652,70.7071686101084
Asia,JPN,999.0,999,999,999,2018,23,2,2: Macronutrients,68.3934929309387,74.7821984161953,62.4638820720494
FSU,KAZ,999.0,999,999,999,2018,23,2,2: Macronutrients,85.8151133467454,104.322301071903,71.3423608885068
SSA,KEN,999.0,999,999,999,2018,23,2,2: Macronutrients,51.9855106625511,58.9895771159194,45.9129121442656
FSU,KGZ,999.0,999,999,999,2018,23,2,2: Macronutrients,72.4656683636232,88.4091478504368,59.8314747495368
Asia,KHM,999.0,999,999,999,2018,23,2,2: Macronutrients,65.8128545519731,77.8465435339114,55.6317336715242
Asia,KIR,999.0,999,999,999,2018,23,2,2: Macronutrients,63.489938187375,74.6020587822863,54.2394148001463
Asia,KOR,999.0,999,999,999,2018,23,2,2: Macronutrients,71.9384018585008,73.2510505906359,70.6565520224021
MENA,KWT,999.0,999,999,999,2018,23,2,2: Macronutrients,57.0914113440431,67.199311977497,48.5668811168193
Asia,LAO,999.0,999,999,999,2018,23,2,2: Macronutrients,92.3551427081712,99.381489851183,85.8726478626278
MENA,LBN,999.0,999,999,999,2018,23,2,2: Macronutrients,129.819723374529,140.970553678178,119.855030107781
SSA,LBR,999.0,999,999,999,2018,23,2,2: Macronutrients,59.6395533362132,70.298766783738,50.6562906009597
MENA,LBY,999.0,999,999,999,2018,23,2,2: Macronutrients,54.4304473109722,65.3958727306832,44.7434720456049
LAC,LCA,999.0,999,999,999,2018,23,2,2: Macronutrients,49.7811166053102,57.7429137029008,43.0574780415383
SAARC,LKA,999.0,999,999,999,2018,23,2,2: Macronutrients,57.8681036811933,66.3573078503848,50.9566116335657
SSA,LSO,999.0,999,999,999,2018,23,2,2: Macronutrients,55.3231503227866,65.4551905667074,46.5387628885678
FSU,LTU,999.0,999,999,999,2018,23,2,2: Macronutrients,94.1654407009854,115.780254384247,77.8330515910777
HIC,LUX,999.0,999,999,999,2018,23,2,2: Macronutrients,93.0745506062564,107.474027228041,81.3518295500976
FSU,LVA,999.0,999,999,999,2018,23,2,2: Macronutrients,80.2861675540669,97.7720226476349,66.3471840687881
MENA,MAR,999.0,999,999,999,2018,23,2,2: Macronutrients,67.2633135585102,83.1168965932378,54.5518635869451
FSU,MDA,999.0,999,999,999,2018,23,2,2: Macronutrients,46.9988748557204,57.801859077124,38.3362499053744
SSA,MDG,999.0,999,999,999,2018,23,2,2: Macronutrients,25.9813532771877,30.9470829265218,21.5332738195547
SAARC,MDV,999.0,999,999,999,2018,23,2,2: Macronutrients,93.50536689885972,121.587964008286,73.6158848522745
LAC,MEX,999.0,999,999,999,2018,23,2,2: Macronutrients,68.5736148375858,70.2333803650734,67.0017279010123
Asia,MHL,999.0,999,999,999,2018,23,2,2: Macronutrients,75.6842713595943,88.621050388316,64.9888048428626
FSU,MKD,999.0,999,999,999,2018,23,2,2: Macronutrients,88.779432244402,108.454600689634,73.6204534370775
SSA,MLI,999.0,999,999,999,2018,23,2,2: Macronutrients,63.8555903036634,75.7871014215438,53.9736847264653
HIC,MLT,999.0,999,999,999,2018,23,2,2: Macronutrients,84.6584575144463,107.052679232381,66.8983850928755
Asia,MMR,999.0,999,999,999,2018,23,2,2: Macronutrients,75.2405592904347,88.358589446097,64.445974685931
FSU,MNE,999.0,999,999,999,2018,23,2,2: Macronutrients,128.697094759196,156.54958609606,106.796605920047
FSU,MNG,999.0,999,999,999,2018,23,2,2: Macronutrients,86.7021813343306,108.140762773209,70.3440764927575
